file,tokens
../docodile/docs_main/guides/integrations/dagster.md,10193
../docodile/docs_main/ref/python/run.md,9215
../docodile/docs_main/ref/python/artifact.md,7123
../docodile/docs_main/tutorials/monai_3d_segmentation.md,6459
../docodile/docs_main/guides/hosting/iam/scim.md,6401
../docodile/docs_main/tutorials/artifacts.md,6165
../docodile/docs_main/ref/python/public-api/api.md,5895
../docodile/docs_main/guides/integrations/huggingface.md,5672
../docodile/docs_main/tutorials/models.md,5574
../docodile/docs_main/guides/integrations/lightning.md,5569
../docodile/docs_main/guides/track/log/media.md,5421
../docodile/docs_main/guides/track/public-api-guide.md,5188
../docodile/docs_main/ref/query-panel/string.md,4990
../docodile/docs_main/tutorials/xgboost.md,4778
../docodile/docs_main/guides/integrations/keras.md,4627
../docodile/docs_main/ref/query-panel/int.md,4432
../docodile/docs_main/ref/query-panel/number.md,4432
../docodile/docs_main/ref/query-panel/float.md,4432
../docodile/docs_main/guides/model_registry/automation.md,4299
../docodile/docs_main/guides/app/features/system-metrics.md,4231
../docodile/docs_main/guides/prompts/quickstart.md,4145
../docodile/docs_main/tutorials/minikube_gpu.md,4117
../docodile/docs_main/guides/artifacts/project-scoped-automations.md,4102
../docodile/docs_main/guides/hosting/self-managed/bare-metal.md,4017
../docodile/docs_main/guides/app/features/custom-charts/intro.md,3835
../docodile/docs_main/tutorials/sweeps.md,3678
../docodile/docs_main/tutorials/pytorch.md,3659
../docodile/docs_main/guides/integrations/add-wandb-to-any-library.md,3529
../docodile/docs_main/guides/launch/setup-launch-sagemaker.md,3483
../docodile/docs_main/guides/track/log/plots.md,3423
../docodile/docs_main/tutorials/lightning.md,3212
../docodile/docs_main/guides/sweeps/add-w-and-b-to-your-code.md,3177
../docodile/docs_main/guides/hosting/self-managed/aws-tf.md,3172
../docodile/docs_main/ref/python/init.md,3165
../docodile/docs_main/guides/sweeps/define-sweep-configuration.md,3117
../docodile/docs_main/guides/app/pages/project-page.md,3020
../docodile/docs_main/guides/integrations/diffusers.md,2957
../docodile/docs_main/guides/sweeps/sweep-config-keys.md,2947
../docodile/docs_main/guides/launch/launch-faqs.md,2887
../docodile/docs_main/guides/launch/sweeps-on-launch.md,2837
../docodile/docs_main/guides/reports/edit-a-report.md,2827
../docodile/docs_main/guides/hosting/self-managed/gcp-tf.md,2716
../docodile/docs_main/ref/query-panel/run.md,2630
../docodile/docs_main/guides/artifacts/track-external-files.md,2617
../docodile/docs_main/guides/artifacts/create-a-new-artifact-version.md,2570
../docodile/docs_main/guides/integrations/scikit.md,2527
../docodile/docs_main/tutorials/tables.md,2512
../docodile/docs_main/tutorials/experiments.md,2484
../docodile/docs_main/guides/app/features/teams.md,2476
../docodile/docs_main/guides/track/log/log-models.md,2446
../docodile/docs_main/guides/artifacts/construct-an-artifact.md,2402
../docodile/docs_main/tutorials/tensorflow_sweeps.md,2386
../docodile/docs_main/guides/track/log/logging-faqs.md,2374
../docodile/docs_main/guides/model_registry/walkthrough.md,2373
